% Model,Qsense_electroaimant_controlechamp3D.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 31 2022, 10:39"
% Dimension,3
% Nodes,125
% Expressions,3
% Description,Arrow volume
% x,y,z,VectorX,VectorY,VectorZ
-0.0025,-0.0025,-0.0025,0.0024426752941987028,0.010307274146301683,0.004890639196951948
-0.00125,-0.0025,-0.0025,0.002598544151740962,0.01056596107475944,0.004981460063726357
0,-0.0025,-0.0025,0.002858182551523276,0.010724705732845173,0.0048215006515743035
0.0012499999999999998,-0.0025,-0.0025,0.002999703393453474,0.01068346121089474,0.0047646442312781236
0.0025,-0.0025,-0.0025,0.0031412242353836724,0.010642216688944306,0.004707787810981943
-0.0025,-0.00125,-0.0025,0.002657620462491766,0.0103569036934389,0.004622611579837715
-0.00125,-0.00125,-0.0025,0.002753697098881781,0.010612329689245222,0.00459240849813067
0,-0.00125,-0.0025,0.002813959225795345,0.010659460581773444,0.004466377588354875
0.0012499999999999998,-0.00125,-0.0025,0.0029554800677255412,0.010618216059823006,0.0044095211680586915
0.0025,-0.00125,-0.0025,0.003090154599094789,0.010469345298327716,0.004280688635464942
-0.0025,0,-0.0025,0.0028966642523793953,0.01038982783651703,0.004366515569219627
-0.00125,0,-0.0025,0.002908850046022594,0.010658698303731009,0.0042033569325349756
0,0,-0.0025,0.0028952268414988917,0.010671593805231845,0.004101417159916941
0.0012499999999999998,0,-0.0025,0.002824213102986181,0.010596227472168668,0.0040595895734617735
0.0025,0,-0.0025,0.0028212788658047816,0.010404601925655082,0.0041410226366955785
-0.0025,0.0012499999999999998,-0.0025,0.0032171293960807047,0.0104553539018716,0.004183667823552684
-0.00125,0.0012499999999999998,-0.0025,0.003022297031689495,0.01065784270965074,0.004002859328902734
0,0.0012499999999999998,-0.0025,0.0029189520199626963,0.010611765783070765,0.003746261002620718
0.0012499999999999998,0.0012499999999999998,-0.0025,0.0026518286544678546,0.010520212736401503,0.003934836005592639
0.0025,0.0012499999999999998,-0.0025,0.0025054256418948462,0.010280275626993244,0.003836288608214971
-0.0025,0.0025,-0.0025,0.0032770413528436654,0.010445552232162461,0.0037761338432147143
-0.00125,0.0025,-0.0025,0.0031487303352264614,0.010790127872097398,0.003466794284885626
0,0.0025,-0.0025,0.0028626428157673095,0.010560284430746357,0.0035855697517515653
0.0012499999999999998,0.0025,-0.0025,0.002595519450272468,0.010468731384077093,0.003774144754723486
0.0025,0.0025,-0.0025,0.0021428871653593733,0.01013134407450443,0.0037240662592584253
-0.0025,-0.0025,-0.00125,0.002374481097682223,0.010109422192876265,0.004579536034320203
-0.00125,-0.0025,-0.00125,0.002562306612391491,0.01036985062993331,0.004767786794547822
0,-0.0025,-0.00125,0.0027539708172500703,0.010462601217748857,0.00455846219314082
0.0012499999999999998,-0.0025,-0.00125,0.003031552520523145,0.010486319564200774,0.004574596239041075
0.0025,-0.0025,-0.00125,0.0032515461111580976,0.010364790991595218,0.0047239955888950715
-0.0025,-0.00125,-0.00125,0.0025794347800612853,0.010180520757975844,0.004585637071739259
-0.00125,-0.00125,-0.00125,0.00258100858209535,0.010380562580135356,0.0044006388482325225
0,-0.00125,-0.00125,0.002892517081818677,0.010464239483526889,0.00439010189749641
0.0012499999999999998,-0.00125,-0.00125,0.0030340379237488767,0.010422994961576448,0.00433324547720023
0.0025,-0.00125,-0.00125,0.003012274835364931,0.010309102672163336,0.004348366245318982
-0.0025,0,-0.00125,0.002718403779671343,0.010002422161354657,0.004344301413624516
-0.00125,0,-0.00125,0.0027959537503884175,0.010430192127272557,0.004132611231118281
0,0,-0.00125,0.002848293756090749,0.01039899433245515,0.0040349788342769815
0.0012499999999999998,0,-0.00125,0.0027463333392563276,0.010435984846004286,0.004127267183315816
0.0025,0,-0.00125,0.002743399102074927,0.010244359299490692,0.004208700246549612
-0.0025,0.0012499999999999998,-0.00125,0.0031160721440150366,0.010262544588474927,0.004309035443786743
-0.00125,0.0012499999999999998,-0.00125,0.002911307589035659,0.010472229402920374,0.004114194827003718
0,0.0012499999999999998,-0.00125,0.0027367167260447726,0.010383424734678693,0.00406486572043997
0.0012499999999999998,0.0012499999999999998,-0.00125,0.002684202515002286,0.01039773293071024,0.0040547974276381165
0.0025,0.0012499999999999998,-0.00125,0.0025271962517314033,0.010189195378374743,0.004107039581858417
-0.0025,0.0025,-0.00125,0.003288175361566052,0.010288706440116025,0.004024490321076945
-0.00125,0.0025,-0.00125,0.002997783825861529,0.01045274037078027,0.0038239963143693666
0,0.0025,-0.00125,0.0026804075218493867,0.010331943382354287,0.003904174469570815
0.0012499999999999998,0.0025,-0.00125,0.0024132841563545455,0.010240390335685029,0.004092749472542731
0.0025,0.0025,-0.00125,0.002267674710173666,0.010052861566870328,0.004133114925449148
-0.0025,-0.0025,0,0.0022367040452573317,0.009964382334837528,0.004275358028134088
-0.00125,-0.0025,0,0.0024892615861316202,0.010245397824363404,0.004352483659698172
0,-0.0025,0,0.0027399169510148127,0.0102247292169075,0.004232350546780341
0.0012499999999999998,-0.0025,0,0.0029316432822033326,0.010335408995440136,0.004322619298462812
0.0025,-0.0025,0,0.0032377820975450465,0.010174806923597568,0.0044030735815335075
-0.0025,-0.00125,0,0.0025627982652269067,0.010134828538780984,0.004319777336858377
-0.00125,-0.00125,0,0.0026747371687229353,0.010357398989553429,0.004303932005189385
0,-0.00125,0,0.0027918428635533756,0.010273259159994901,0.004150246852481996
0.0012499999999999998,-0.00125,0,0.002876364934835227,0.010350192187459986,0.004384576785498521
0.0025,-0.00125,0,0.0029418217377591427,0.010165357405205369,0.004326639949276238
-0.0025,0,0,0.002665550855704319,0.010136828389763352,0.004258150963607354
-0.00125,0,0,0.003102835103054591,0.01059615747324031,0.0043992118699659605
0,0,0,0.002671387812707862,0.010467367766353491,0.004113511729936063
0.0012499999999999998,0,0,0.002668453575526468,0.0102757422198399,0.004194944793169851
0.0025,0,0,0.0026655193383450693,0.010084116673326312,0.004276377856403651
-0.0025,0.0012499999999999998,0,0.0029236906392745587,0.010227361135463645,0.004291617813230432
-0.00125,0.0012499999999999998,0,0.002852687823234119,0.010357247300969187,0.004240887356652151
0,0.0012499999999999998,0,0.00255448143212685,0.010155083686286625,0.004383470438259216
0.0012499999999999998,0.0012499999999999998,0,0.0026857635833151816,0.010253162487636289,0.004261295499578188
0.0025,0.0012499999999999998,0,0.0025287573200442966,0.01004462493530079,0.00431353765379849
-0.0025,0.0025,0,0.003299309370288453,0.010131860648069587,0.004272846798939177
-0.00125,0.0025,0,0.0029682594847371016,0.010517773925894203,0.0041904804705134935
0,0.0025,0,0.0025526641772571006,0.010104203886809424,0.0043079258049213255
0.0012499999999999998,0.0025,0,0.0022310488624366224,0.010012049287292954,0.004411354190361979
0.0025,0.0025,0,0.002247232042329306,0.0099951331266316,0.0043766850245702225
-0.0025,-0.0025,0.0012499999999999998,0.0021664394758411764,0.009973368863579316,0.003890937525035002
-0.00125,-0.0025,0.0012499999999999998,0.002416216559871753,0.010120945018793496,0.003937180524848529
0,-0.0025,0.0012499999999999998,0.0027508158453471853,0.01018481557541247,0.004073354212618662
0.0012499999999999998,-0.0025,0.0012499999999999998,0.002992860314468321,0.010253815997674151,0.00400600610406662
0.0025,-0.0025,0.0012499999999999998,0.003314212658823314,0.010105284193254304,0.004094935145067939
-0.0025,-0.00125,0.0012499999999999998,0.0025303122247331534,0.010091464912332804,0.004025517199169168
-0.00125,-0.00125,0.0012499999999999998,0.002431708710706379,0.009987881833206097,0.004244619454574012
0,-0.00125,0.0012499999999999998,0.0027913071492306255,0.010291367388998336,0.0042301314832656695
0.0012499999999999998,-0.00125,0.0012499999999999998,0.0030002102835227605,0.010280006853134847,0.004077937161393645
0.0025,-0.00125,0.0012499999999999998,0.0030516176968472357,0.010142262314742976,0.004214649585219295
-0.0025,0,0.0012499999999999998,0.0027933472955926223,0.010092050907699384,0.00426966925553601
-0.00125,0,0.0012499999999999998,0.0029535021387251587,0.010438570019705712,0.00423826675360263
0,0,0.0012499999999999998,0.0027621728955308815,0.010631952576985997,0.004084730901065963
0.0012499999999999998,0,0.0012499999999999998,0.0026456392665117866,0.01035437229829208,0.00420217567790519
0.0025,0,0.0012499999999999998,0.0027866487963461493,0.010134550757594106,0.004356939409190005
-0.0025,0.0012499999999999998,0.0012499999999999998,0.0028862296533626744,0.01019697125143252,0.004318412511472559
-0.00125,0.0012499999999999998,0.0012499999999999998,0.003007149549981514,0.010227298590378459,0.004141143702222115
