% Model,Qsense_electroaimant_controlechamp3D.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 27 2022, 16:00"
% Dimension,3
% Nodes,125
% Expressions,3
% Description,Arrow volume
% x,y,z,VectorX,VectorY,VectorZ
-0.0025,-0.0025,-0.0025,2.5530142460491816E-5,6.207883703040172E-5,2.7516460035197435E-4
-0.00125,-0.0025,-0.0025,2.1172502920979025E-5,6.851093334007095E-5,2.727582673704961E-4
0,-0.0025,-0.0025,1.277246764998675E-5,7.247554157458922E-5,2.694853329558789E-4
0.0012499999999999998,-0.0025,-0.0025,7.3158974383232345E-6,7.034214870858986E-5,2.6809022503871717E-4
0.0025,-0.0025,-0.0025,1.458007444376467E-6,6.898603688917048E-5,2.7386255960902724E-4
-0.0025,-0.00125,-0.0025,3.1009618469547196E-5,5.564906707706304E-5,2.701970197178862E-4
-0.00125,-0.00125,-0.0025,2.169036216177929E-5,5.9671341239154194E-5,2.607226011292225E-4
0,-0.00125,-0.0025,1.2820803996058292E-5,6.0738391576763494E-5,2.601714446344443E-4
0.0012499999999999998,-0.00125,-0.0025,7.470508101542484E-6,5.892877841712739E-5,2.605070140460457E-4
0.0025,-0.00125,-0.0025,-2.651960871615997E-6,5.620347315903957E-5,2.651719502902047E-4
-0.0025,0,-0.0025,3.291085706931193E-5,4.7057036241210154E-5,2.64466252009856E-4
-0.00125,0,-0.0025,2.0606388020251562E-5,5.0124442978327166E-5,2.578138318970809E-4
0,0,-0.0025,1.3836253166476208E-5,4.9209627163674004E-5,2.5427817124625603E-4
0.0012499999999999998,0,-0.0025,4.74357029933703E-6,4.939943232252878E-5,2.561020369376797E-4
0.0025,0,-0.0025,-6.725854602856325E-6,4.686532860461237E-5,2.60901591944444E-4
-0.0025,0.0012499999999999998,-0.0025,3.516105477446526E-5,3.9259557729232194E-5,2.609989755914138E-4
-0.00125,0.0012499999999999998,-0.0025,2.4704400255638677E-5,4.164100790329221E-5,2.5524293725380075E-4
0,0.0012499999999999998,-0.0025,1.3643463509425968E-5,4.20283360024129E-5,2.543734846086774E-4
0.0012499999999999998,0.0012499999999999998,-0.0025,3.6279304002281854E-6,3.9936095934051466E-5,2.545913046811607E-4
0.0025,0.0012499999999999998,-0.0025,-8.065426981255716E-6,3.671173228087139E-5,2.60977385372679E-4
-0.0025,0.0025,-0.0025,3.672387890717296E-5,3.0459380309674636E-5,2.611971232282552E-4
-0.00125,0.0025,-0.0025,2.6591347880038165E-5,3.286704181167371E-5,2.630201465423001E-4
0,0.0025,-0.0025,1.1570145567174877E-5,3.170749465667951E-5,2.5771135481642373E-4
0.0012499999999999998,0.0025,-0.0025,-3.3687307589291837E-6,3.0044590761290485E-5,2.514072785530577E-4
0.0025,0.0025,-0.0025,-8.751625545075359E-6,3.006942179573785E-5,2.6377368646527885E-4
-0.0025,-0.0025,-0.00125,1.455864678163543E-5,5.2261998050616605E-5,2.8459407957442343E-4
-0.00125,-0.0025,-0.00125,9.65919980753377E-6,5.785912114115305E-5,2.8607263791669696E-4
0,-0.0025,-0.00125,1.1199481395556163E-5,5.9820261924359304E-5,2.824199671898793E-4
0.0012499999999999998,-0.0025,-0.00125,1.3853201433531992E-5,6.199626965203869E-5,2.812121493523652E-4
0.0025,-0.0025,-0.00125,8.982723149126128E-6,5.44530327055467E-5,2.9039848449629235E-4
-0.0025,-0.00125,-0.00125,1.8212875293692867E-5,4.7276830350020255E-5,2.81255785991853E-4
-0.00125,-0.00125,-0.00125,1.4861224828459363E-5,5.029468315705458E-5,2.7338169758526175E-4
0,-0.00125,-0.00125,1.2622225311218795E-5,5.163488090894307E-5,2.737814387694937E-4
0.0012499999999999998,-0.00125,-0.00125,1.0383225793976925E-5,5.297507866082823E-5,2.741811799537334E-4
0.0025,-0.00125,-0.00125,4.41047630136103E-6,5.183558314894154E-5,2.8260387937437906E-4
-0.0025,0,-0.00125,1.908206837967011E-5,4.432418395752599E-5,2.8194462134712513E-4
-0.00125,0,-0.00125,1.74870410291246E-5,4.741291538921156E-5,2.7128292193310817E-4
0,0,-0.00125,1.2675689822181334E-5,4.912098368380774E-5,2.668379823287312E-4
0.0012499999999999998,0,-0.00125,8.866925666091256E-6,4.7224500231792844E-5,2.699280309983402E-4
0.0025,0,-0.00125,3.637641002765535E-6,4.292900022053944E-5,2.7881318143113963E-4
-0.0025,0.0012499999999999998,-0.00125,2.524149976182227E-5,4.25109938932927E-5,2.7822107697588426E-4
-0.00125,0.0012499999999999998,-0.00125,1.7555690784310657E-5,4.494904043423481E-5,2.7110783529295246E-4
0,0.0012499999999999998,-0.00125,1.2070761354300227E-5,4.265622259354111E-5,2.6822367391472063E-4
0.0012499999999999998,0.0012499999999999998,-0.00125,6.645251463661961E-6,3.932856165007404E-5,2.734152196719286E-4
0.0025,0.0012499999999999998,-0.00125,2.689013435853288E-6,3.6611737342275106E-5,2.8114185139711985E-4
-0.0025,0.0025,-0.00125,2.7451846937451166E-5,3.736909402400081E-5,2.749655584550147E-4
-0.00125,0.0025,-0.00125,1.8840117012149105E-5,4.09525783738509E-5,2.7875967173851546E-4
0,0.0025,-0.00125,1.0345002580444684E-5,3.918773595484176E-5,2.7602186195920496E-4
0.0012499999999999998,0.0025,-0.00125,5.042402770078381E-6,3.8203426082164885E-5,2.722777570347938E-4
0.0025,0.0025,-0.00125,-3.1783035901161026E-6,3.276804995036315E-5,2.8110592106929877E-4
-0.0025,-0.0025,0,3.5871511027844237E-6,4.244515907083019E-5,2.940235587968528E-4
-0.00125,-0.0025,0,7.594817184540829E-6,4.633428738997753E-5,2.876719977206566E-4
0,-0.0025,0,1.1921312941308145E-5,4.8014581555743996E-5,2.8412737263794834E-4
0.0012499999999999998,-0.0025,0,1.5121234461792424E-5,4.651392323146717E-5,2.831106153346905E-4
0.0025,-0.0025,0,1.9965301104315353E-5,4.5815509756165496E-5,2.9215758870277395E-4
-0.0025,-0.00125,0,1.1656243127382022E-5,4.4796898336753235E-5,2.857024664990554E-4
-0.00125,-0.00125,0,1.1312681915400316E-5,4.899661188859269E-5,2.7848587888404885E-4
0,-0.00125,0,1.1386122244654994E-5,4.8710078054699036E-5,2.758904605809525E-4
0.0012499999999999998,-0.00125,0,1.296693614258912E-5,4.843717471004344E-5,2.788101103563421E-4
0.0025,-0.00125,0,1.8103980983241036E-5,4.5873275609651515E-5,2.8673519988675795E-4
-0.0025,0,0,1.5657741341640503E-5,4.342945807859653E-5,2.849070889558287E-4
-0.00125,0,0,1.4062713991092176E-5,4.651818951028307E-5,2.742453895418135E-4
0,0,0,1.036737144282816E-5,4.7471627858926843E-5,2.7082196512506524E-4
0.0012499999999999998,0,0,1.0220907668542778E-5,4.682537521123395E-5,2.777229289657526E-4
0.0025,0,0,1.2492121531804817E-5,4.4208748987127976E-5,2.8341032615207713E-4
-0.0025,0.0012499999999999998,0,1.9114926381366996E-5,4.371555605480826E-5,2.8583426452543454E-4
-0.00125,0.0012499999999999998,0,1.553165881252802E-5,4.5849527300384496E-5,2.7920904322613696E-4
0,0.0012499999999999998,0,1.453631610570834E-5,4.8153092284463055E-5,2.757061522991435E-4
0.0012499999999999998,0.0012499999999999998,0,1.0580330014560003E-5,4.700403365934941E-5,2.770367605095178E-4
0.0025,0.0012499999999999998,0,6.624091986753498E-6,4.4287209351554814E-5,2.8476339223470343E-4
-0.0025,0.0025,0,1.8278240991249136E-5,4.18789043465026E-5,2.95045854102954E-4
-0.00125,0.0025,0,1.549733359667042E-5,4.749537788951161E-5,2.8473825154773065E-4
0,0.0025,0,1.4119679783795164E-5,4.6075107016348496E-5,2.8280726630014463E-4
0.0012499999999999998,0.0025,0,8.896789189539664E-6,4.660439716206409E-5,2.8129435481316634E-4
0.0025,0.0025,0,3.9864730222360575E-6,4.3025223845455005E-5,2.917532098563238E-4
-0.0025,-0.0025,0.0012499999999999998,-3.931644634681125E-6,3.2600354082609403E-5,2.77387465196309E-4
-0.00125,-0.0025,0.0012499999999999998,6.038878640065096E-6,3.7030216727258064E-5,2.755623503997249E-4
0,-0.0025,0.0012499999999999998,1.4656109398512742E-5,3.965482916364381E-5,2.7494388961543415E-4
0.0012499999999999998,-0.0025,0.0012499999999999998,2.22603408426697E-5,4.234548945410046E-5,2.7304144479955994E-4
0.0025,-0.0025,0.0012499999999999998,2.6594050341222086E-5,3.8491769815813886E-5,2.843163755051545E-4
-0.0025,-0.00125,0.0012499999999999998,-1.3632904419663694E-6,4.16177972175167E-5,2.80307664996874E-4
-0.00125,-0.00125,0.0012499999999999998,6.968197415643287E-6,4.311584228076579E-5,2.72597802080719E-4
0,-0.00125,0.0012499999999999998,1.1582407187849734E-5,4.4342693638085504E-5,2.685715151700349E-4
0.0012499999999999998,-0.00125,0.0012499999999999998,2.0646392002771855E-5,4.330496132264744E-5,2.7210913323716043E-4
0.0025,-0.00125,0.0012499999999999998,2.663627760146614E-5,4.143606219032164E-5,2.7973845168008035E-4
-0.0025,0,0.0012499999999999998,5.278626337586884E-6,4.5676610218466605E-5,2.7933752260442854E-4
-0.00125,0,0.0012499999999999998,8.312739655666262E-6,4.739974929421007E-5,2.684099656201453E-4
0,0,0.0012499999999999998,1.2481905958307674E-5,4.7215710399037096E-5,2.717703281203403E-4
0.0012499999999999998,0,0.0012499999999999998,1.9950439222407926E-5,4.615080297619076E-5,2.72460393283349E-4
0.0025,0,0.0012499999999999998,2.5004547427943603E-5,4.237647721374617E-5,2.7826835106770347E-4
-0.0025,0.0012499999999999998,0.0012499999999999998,8.171861875915648E-6,5.101914228338713E-5,2.8176084861780346E-4
-0.00125,0.0012499999999999998,0.0012499999999999998,1.0616837090833902E-5,5.3151722496573406E-5,2.7109147971445067E-4
0,0.0012499999999999998,0.0012499999999999998,1.4527821126752822E-5,5.373984633316991E-5,2.7150415083960697E-4
0.0012499999999999998,0.0012499999999999998,0.0012499999999999998,1.8057430003578026E-5,5.070644101440141E-5,2.7526044444074575E-4
0.0025,0.0012499999999999998,0.0012499999999999998,2.025870792117003E-5,4.8031385616126515E-5,2.815768984761949E-4
-0.0025,0.0025,0.0012499999999999998,1.1422053009690902E-5,5.6390110564897434E-5,2.890461606835648E-4
-0.00125,0.0025,0.0012499999999999998,1.2847487853518942E-5,6.200118479740167E-5,2.849848757510945E-4
0,0.0025,0.0012499999999999998,1.1426442209615424E-5,6.0760675979469104E-5,2.818707507702841E-4
0.0012499999999999998,0.0025,0.0012499999999999998,1.3186937914320964E-5,5.3028555543035295E-5,2.8514793647438363E-4
0.0025,0.0025,0.0012499999999999998,8.585799460426868E-6,5.160254239135144E-5,2.975809387651303E-4
-0.0025,-0.0025,0.0025,-1.1716161997833707E-5,2.8672221713319998E-5,2.5635683886177096E-4
-0.00125,-0.0025,0.0025,-1.28293363827435E-6,3.055173980295173E-5,2.574952313635394E-4
0,-0.0025,0.0025,1.257744943446615E-5,3.211255782909579E-5,2.546695729619794E-4
0.0012499999999999998,-0.0025,0.0025,2.7337380977142736E-5,3.273306553789159E-5,2.6069664963414285E-4
0.0025,-0.0025,0.0025,3.915211932320299E-5,2.9270374531939827E-5,2.657787525792571E-4
-0.0025,-0.00125,0.0025,-9.147807805122421E-6,3.768966484823336E-5,2.592770386623377E-4
-0.00125,-0.00125,0.0025,1.1967868979254753E-6,3.8934317557630816E-5,2.5660742956266306E-4
0,-0.00125,0.0025,1.3593561425104435E-5,4.31819609926689E-5,2.5526895426713526E-4
0.0012499999999999998,-0.00125,0.0025,2.3612391904478383E-5,4.1987355050758166E-5,2.560868853464966E-4
0.0025,-0.00125,0.0025,3.735436964939949E-5,3.894578118671154E-5,2.65475954759703E-4
-0.0025,0,0.0025,-6.579453612403274E-6,4.670710798313781E-5,2.621972384629096E-4
-0.00125,0,0.0025,3.676507434130505E-6,4.731689531231034E-5,2.5571962776178023E-4
0,0,0.0025,1.4553008653219249E-5,5.080105406534037E-5,2.5407007622873937E-4
0.0012499999999999998,0,0.0025,2.3695626399128974E-5,5.004563280708806E-5,2.5349753362960935E-4
0.0025,0,0.0025,3.4600208296538953E-5,4.648460818940418E-5,2.6447292438411957E-4
-0.0025,0.0012499999999999998,0.0025,-4.4211982634448366E-6,5.7329250816308755E-5,2.6522445187627045E-4
