% Model,Qsense_electroaimant_controlechamp3D.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 27 2022, 14:18"
% Dimension,3
% Nodes,125
% Expressions,3
% Description,Arrow volume
% x,y,z,VectorX,VectorY,VectorZ
-0.0025,-0.0025,-0.0025,4.226528450489847E-4,4.609910997593055E-4,0.0058454722013324256
-0.00125,-0.0025,-0.0025,2.506236613540299E-4,4.8730725983243554E-4,0.00564564732109552
0,-0.0025,-0.0025,-4.030880781744073E-5,5.678643505508778E-4,0.005631887527392969
0.0012499999999999998,-0.0025,-0.0025,-1.2380110391023436E-4,5.205125766097954E-4,0.005738201809713393
0.0025,-0.0025,-0.0025,-3.4562167334997734E-4,4.827917045428197E-4,0.005823808495782076
-0.0025,-0.00125,-0.0025,4.2201615206282494E-4,2.4961732270734847E-4,0.005742986935331691
-0.00125,-0.00125,-0.0025,2.778420576020112E-4,3.506885944204631E-4,0.005565516039568856
0,-0.00125,-0.0025,3.864903069813498E-6,2.488591217745424E-4,0.005486203120850901
0.0012499999999999998,-0.00125,-0.0025,-1.4929927156087826E-4,2.750481262504198E-4,0.005597538623530133
0.0025,-0.00125,-0.0025,-3.8864988322169936E-4,2.308494165423718E-4,0.0056737373674588245
-0.0025,0,-0.0025,4.2137945907665987E-4,3.8243545655361484E-5,0.005640501669330951
-0.00125,0,-0.0025,2.3095722228210977E-4,6.532818238788597E-5,0.005533420885855463
0,0,-0.0025,6.127171715617505E-6,7.139795075673459E-5,0.005453404857453851
0.0012499999999999998,0,-0.0025,-1.418803944605784E-4,6.481460124139332E-5,0.00548740999685654
0.0025,0,-0.0025,-4.1441119029403747E-4,5.692472260048279E-5,0.0056626997500814555
-0.0025,0.0012499999999999998,-0.0025,3.698600179347786E-4,-1.3742588608372036E-4,0.005634514056767095
-0.00125,0.0012499999999999998,-0.0025,2.375315668802433E-4,-1.3721270626887785E-4,0.005581784257845058
0,0.0012499999999999998,-0.0025,-7.229989020030026E-6,-1.2470327642948901E-4,0.005520967243500515
0.0012499999999999998,0.0012499999999999998,-0.0025,-1.8537794372951166E-4,-1.660980256544542E-4,0.005560627097859504
0.0025,0.0012499999999999998,-0.0025,-4.162055641041066E-4,-1.0401561260622862E-4,0.005669029988096338
