% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 28 2022, 10:34"
% Dimension,3
% Nodes,125
% Expressions,3
% Description,Arrow volume
% x,y,z,VectorX,VectorY,VectorZ
-0.0025,-0.0025,-0.0025,0.0019805781041938066,0.008940780255258313,0.004188689656513473
-0.00125,-0.0025,-0.0025,0.0021573387955489557,0.009026642557536648,0.004184623234379927
0,-0.0025,-0.0025,0.0024686842403393028,0.009189971195310826,0.0041128342362781005
0.0012499999999999998,-0.0025,-0.0025,0.002575144275763011,0.009159347772034136,0.004074776716351945
0.0025,-0.0025,-0.0025,0.002681604311186723,0.00912872434875744,0.00403671919642579
-0.0025,-0.00125,-0.0025,0.0022866219436208073,0.008833682084544272,0.00400959828018351
-0.00125,-0.00125,-0.0025,0.002373420638220489,0.009031361279074196,0.00388761581993082
0,-0.00125,-0.0025,0.0024124587165436314,0.009142588171921106,0.0038208339683401277
0.0012499999999999998,-0.00125,-0.0025,0.0025189187519673415,0.00911196474864441,0.0037827764484139707
0.0025,-0.00125,-0.0025,0.002638808922413652,0.008970311117336245,0.003689686191031699
-0.0025,0,-0.0025,0.00259492423651699,0.00890375940943259,0.0037902999856908644
-0.00125,0,-0.0025,0.0024456583965226653,0.009037763400732072,0.0036530800599572245
0,0,-0.0025,0.0024735749970562285,0.009198051280127583,0.0035757920691477166
0.0012499999999999998,0,-0.0025,0.0024098126012766542,0.009070731245019528,0.0035068151315270552
0.0025,0,-0.0025,0.002412523187513457,0.008916134254018517,0.00356525038415521
-0.0025,0.0012499999999999998,-0.0025,0.0026915979209026332,0.008969424303146938,0.003443883294105546
-0.00125,0.0012499999999999998,-0.0025,0.0025529412144523166,0.009103414097215132,0.003377118545158719
0,0.0012499999999999998,-0.0025,0.0024270405292011205,0.009148995828159963,0.0033514445600323593
0.0012499999999999998,0.0012499999999999998,-0.0025,0.0022035004470301713,0.008962808763973156,0.0034022614955974747
0.0025,0.0012499999999999998,-0.0025,0.002156162229514433,0.008809537657002812,0.0033062726997680368
-0.0025,0.0025,-0.0025,0.0027883563854127855,0.008966283277151215,0.003296924496033445
-0.00125,0.0025,-0.0025,0.0025937530029840625,0.00907820322494334,0.003213867456715286
0,0.0025,-0.0025,0.0023374079130245523,0.009109777077613488,0.003050496823258063
0.0012499999999999998,0.0025,-0.0025,0.0020743506327011484,0.008906484679024995,0.0030856926723445686
0.0025,0.0025,-0.0025,0.0018302375737072885,0.008672389518491105,0.00313942575634984
-0.0025,-0.0025,-0.00125,0.002054881250516191,0.008650747908853774,0.003907738537611564
-0.00125,-0.0025,-0.00125,0.002187255824480588,0.00889078642953394,0.003964768097522736
0,-0.0025,-0.00125,0.0023415749343853195,0.008985056559061535,0.003917198169722105
0.0012499999999999998,-0.0025,-0.00125,0.0025353188228118533,0.008969986131735531,0.003904155215697992
0.0025,-0.0025,-0.00125,0.0027630849540237253,0.008909358337193621,0.003808313391077804
-0.0025,-0.00125,-0.00125,0.0022884192812029688,0.008700441120267764,0.003873867404479282
-0.00125,-0.00125,-0.00125,0.0023298173607479373,0.00888934620048722,0.0038532970977393764
0,-0.00125,-0.00125,0.002463121744859678,0.008998896806198966,0.0037617569563061395
0.0012499999999999998,-0.00125,-0.00125,0.002569581780283388,0.008968273382922269,0.0037236994363799825
0.0025,-0.00125,-0.00125,0.0025758319056735967,0.008842976389854228,0.003741152468112622
-0.0025,0,-0.00125,0.0023741385185165574,0.008735460442749591,0.0036960493285752975
-0.00125,0,-0.00125,0.0024020551190501185,0.0088957483221451,0.0036187613377657865
0,0,-0.00125,0.00240689622106401,0.008951513782809239,0.0034697566883681655
0.0012499999999999998,0,-0.00125,0.002346835584536599,0.008943396517537507,0.0035582814086079877
0.0025,0,-0.00125,0.002349546170773403,0.008788799526536488,0.003616716661236136
-0.0025,0.0012499999999999998,-0.00125,0.0026412647615814567,0.00880841595434164,0.003617134859887936
-0.00125,0.0012499999999999998,-0.00125,0.002509446617973632,0.008973914196944509,0.003455905709609696
0,0.0012499999999999998,-0.00125,0.002272100720600168,0.008893884314493936,0.003631308727151473
0.0012499999999999998,0.0012499999999999998,-0.00125,0.0022688364390977813,0.008864302332297673,0.003515457945327736
0.0025,0.0012499999999999998,-0.00125,0.002176088546973069,0.008705090944035564,0.00353616873040445
-0.0025,0.0025,-0.00125,0.002634873147976809,0.008678469734340073,0.0035275027628401037
-0.00125,0.0025,-0.00125,0.00251092040307358,0.008870922107698735,0.0034486776895688923
0,0.0025,-0.00125,0.002304324861981562,0.008886040028682193,0.003434228185687167
0.0012499999999999998,0.0025,-0.00125,0.0019973412511034173,0.00867636061607156,0.003411302113365569
0.0025,0.0025,-0.00125,0.0018501638911659322,0.008567942805523853,0.0033693217869862563
-0.0025,-0.0025,0,0.0019679083343243763,0.008592027098890568,0.003725687003333642
-0.00125,-0.0025,0,0.0021574210436862504,0.00878726433043828,0.003696273195824031
0,-0.0025,0,0.0023798748395612865,0.008867639496770552,0.0036964916781081314
0.0012499999999999998,-0.0025,0,0.0026150372664022915,0.008759432198030385,0.003660077211803692
0.0025,-0.0025,0,0.0027165170812574984,0.008737437298922264,0.0036857566653516107
-0.0025,-0.00125,0,0.002147211816837787,0.008644083335859558,0.003722425308395319
-0.00125,-0.00125,0,0.0022528786579685215,0.008866246522775118,0.003783272192678495
0,-0.00125,0,0.0024594662414413274,0.008901663460571396,0.0037244786696755904
0.0012499999999999998,-0.00125,0,0.002398009564814405,0.00889607766623751,0.003647705791782466
0.0025,-0.00125,0,0.002515965848503379,0.008742037740959493,0.0037452991207779962
-0.0025,0,0,0.0023595370090678035,0.00867918060875551,0.003724257996242901
-0.00125,0,0,0.002482498732194539,0.008916763676191866,0.0037312398549024287
0,0,0,0.0022811479815597335,0.0089706587810565,0.0035513124330607674
0.0012499999999999998,0,0,0.0022838585677965395,0.008816061790055488,0.0036097476856889145
0.0025,0,0,0.00228656915403335,0.008661464799054469,0.0036681829383170706
-0.0025,0.0012499999999999998,0,0.0025039825587158454,0.008697424823460248,0.0037354550829772895
-0.00125,0.0012499999999999998,0,0.002398315331778053,0.008846392565035586,0.0036685466564650034
0,0.0012499999999999998,0,0.0022684174766365514,0.00873905073130185,0.0038903992060726478
0.0012499999999999998,0.0012499999999999998,0,0.0022887627565564127,0.008759855619330417,0.0037453539759641436
0.0025,0.0012499999999999998,0,0.00219601486443171,0.008600644231068308,0.0037660647610408687
-0.0025,0.0025,0,0.002622554098896619,0.008715780733733247,0.003750911635074771
-0.00125,0.0025,0,0.002516886871958843,0.008864748475308586,0.003684003208562487
0,0.0025,0,0.0024069497650472584,0.008969385824313031,0.0037096910792455435
0.0012499999999999998,0.0025,0,0.002194163281594766,0.008756193405316663,0.003691266109497063
